iter	Passed	Remaining
0	53	53820
1	58	29290
2	64	21281
3	68	17120
4	72	14525
5	78	12943
6	83	11834
7	89	11153
8	95	10533
9	101	10081
10	107	9683
11	113	9381
12	121	9205
13	127	8987
14	133	8767
15	140	8653
16	146	8476
17	154	8406
18	160	8286
19	167	8195
20	173	8101
21	179	7994
22	185	7875
23	190	7757
24	196	7670
25	203	7627
26	209	7551
27	214	7462
28	220	7386
29	225	7303
30	231	7234
31	238	7207
32	244	7157
33	249	7094
34	256	7069
35	262	7023
36	268	6994
37	274	6951
38	280	6907
39	287	6903
40	293	6866
41	298	6818
42	304	6782
43	310	6743
44	316	6715
45	322	6685
46	327	6645
47	333	6618
48	339	6595
49	345	6559
50	351	6540
51	359	6557
52	365	6534
53	372	6526
54	378	6498
55	385	6491
56	391	6482
57	398	6466
58	403	6439
59	409	6409
60	416	6410
61	422	6387
62	427	6358
63	433	6345
64	439	6317
65	445	6303
66	451	6293
67	456	6260
68	462	6246
69	469	6240
70	475	6218
71	483	6226
72	489	6212
73	495	6201
74	502	6191
75	507	6175
76	515	6182
77	522	6171
78	529	6172
79	536	6168
80	542	6160
81	552	6182
82	567	6266
83	574	6261
84	585	6298
85	591	6286
86	599	6287
87	605	6275
88	611	6264
89	620	6270
90	626	6255
91	633	6257
92	639	6241
93	648	6250
94	654	6235
95	664	6261
96	672	6258
97	679	6255
98	686	6243
99	694	6246
100	700	6231
101	706	6215
102	715	6227
103	721	6215
104	729	6221
105	736	6208
106	744	6210
107	752	6212
108	761	6222
109	780	6311
110	791	6341
111	800	6344
112	808	6350
113	816	6343
114	824	6343
115	832	6344
116	842	6359
117	849	6351
118	858	6355
119	865	6349
120	873	6347
121	881	6340
122	889	6345
123	897	6338
124	905	6340
125	913	6333
126	919	6318
127	926	6309
128	931	6291
129	945	6326
130	955	6341
131	962	6330
132	970	6323
133	976	6312
134	984	6308
135	991	6295
136	996	6280
137	1002	6264
138	1008	6249
139	1014	6231
140	1020	6217
141	1026	6205
142	1033	6195
143	1040	6183
144	1047	6175
145	1054	6168
146	1060	6155
147	1067	6145
148	1074	6135
149	1080	6123
150	1087	6116
151	1093	6102
152	1103	6110
153	1109	6096
154	1116	6086
155	1122	6074
156	1128	6058
157	1134	6047
158	1141	6035
159	1146	6019
160	1152	6006
161	1158	5995
162	1165	5985
163	1171	5970
164	1177	5958
165	1185	5954
166	1190	5939
167	1197	5929
168	1203	5915
169	1208	5900
170	1214	5886
171	1220	5875
172	1227	5866
173	1233	5853
174	1238	5838
175	1244	5827
176	1250	5815
177	1256	5803
178	1262	5791
179	1268	5780
180	1279	5791
181	1286	5780
182	1293	5773
183	1299	5762
184	1304	5748
185	1310	5737
186	1316	5725
187	1323	5715
188	1328	5702
189	1334	5689
190	1341	5681
191	1347	5670
192	1353	5659
193	1360	5653
194	1366	5641
195	1374	5639
196	1380	5628
197	1386	5615
198	1392	5605
199	1398	5592
200	1403	5579
201	1409	5569
202	1416	5559
203	1423	5556
204	1430	5546
205	1437	5539
206	1443	5528
207	1449	5517
208	1455	5507
209	1461	5499
210	1468	5490
211	1474	5481
212	1480	5470
213	1486	5458
214	1492	5449
215	1499	5441
216	1505	5434
217	1511	5423
218	1518	5413
219	1524	5406
220	1531	5397
221	1538	5390
222	1544	5380
223	1550	5369
224	1556	5359
225	1562	5351
226	1568	5340
227	1574	5331
228	1580	5321
229	1588	5316
230	1595	5309
231	1601	5299
232	1606	5288
233	1612	5279
234	1619	5270
235	1625	5262
236	1631	5252
237	1638	5245
238	1644	5236
239	1650	5225
240	1657	5219
241	1663	5210
242	1670	5203
243	1676	5195
244	1681	5183
245	1688	5176
246	1694	5166
247	1702	5161
248	1707	5150
249	1713	5140
250	1720	5133
251	1726	5123
252	1731	5113
253	1737	5103
254	1744	5095
255	1750	5088
256	1757	5079
257	1763	5071
258	1769	5063
259	1775	5053
260	1783	5050
261	1789	5040
262	1794	5029
263	1801	5022
264	1807	5012
265	1812	5001
266	1820	4996
267	1825	4986
268	1831	4977
269	1837	4967
270	1842	4957
271	1848	4947
272	1853	4935
273	1858	4925
274	1864	4915
275	1870	4907
276	1877	4899
277	1882	4889
278	1888	4879
279	1895	4874
280	1901	4865
281	1906	4853
282	1914	4850
283	1920	4841
284	1928	4838
285	1934	4829
286	1940	4819
287	1946	4811
288	1952	4803
289	1960	4799
290	1966	4791
291	1972	4782
292	1978	4774
293	1984	4764
294	1990	4758
295	1997	4751
296	2003	4741
