iter	RMSE
0	175.9940854
1	169.1218115
2	162.6397043
3	156.8753429
4	151.541824
5	146.6478816
6	142.2642958
7	138.3665822
8	134.3411217
9	130.497666
10	127.1776545
11	124.2964163
12	121.8366983
13	118.8628936
14	116.040366
15	113.9760899
16	110.3473741
17	108.5620741
18	106.9383641
19	104.8259907
20	103.0656232
21	101.2122462
22	98.21189126
23	96.54970538
24	93.9193833
25	91.49551541
26	89.38786734
27	88.28285613
28	87.33502449
29	85.29707894
30	84.35351228
31	83.33060958
32	81.48594573
33	80.87771873
34	79.80806523
35	79.1229714
36	78.17671557
37	77.03465628
38	76.49296479
39	74.93156684
40	74.5183832
41	73.28890603
42	72.26584925
43	71.24129488
44	70.53439595
45	69.64398148
46	68.74301623
47	68.39261451
48	68.04095871
49	67.53546083
50	66.50520538
51	65.47417735
52	65.13341921
53	64.89133587
54	64.27645092
55	63.49121947
56	63.30755954
57	62.74220851
58	62.52231659
59	61.75862037
60	61.50670754
61	60.92951128
62	60.79618023
63	60.08665551
64	59.50919334
65	59.28634656
66	58.84530878
67	58.46852392
68	57.90141084
69	57.47289615
70	57.36440821
71	56.80991142
72	56.38511173
73	55.94478839
74	55.78100433
75	55.50232107
76	55.32968902
77	55.15546269
78	54.92448247
79	54.79544361
80	54.67197655
81	54.574045
82	54.38691067
83	53.91141889
84	53.84313875
85	53.62021375
86	53.17735992
87	53.12890315
88	53.00345677
89	52.69310122
90	52.57810792
91	52.30016589
92	52.11907537
93	51.91055743
94	51.71921501
95	51.55915144
96	51.31712046
97	51.07055337
98	50.84031724
99	50.74679268
100	50.61221478
101	50.48518059
102	50.14932327
103	50.04753185
104	49.875985
105	49.68219043
106	49.56155852
107	49.45293607
108	49.32147918
109	49.22408601
110	49.1334871
111	48.98499995
112	48.87838005
113	48.76178255
114	48.64999705
115	48.54103715
116	48.50290886
117	48.46468012
118	48.25631751
119	48.19487854
120	48.11226036
121	48.02313532
122	47.94105945
123	47.8100607
124	47.67230576
125	47.5550417
126	47.50674576
127	47.41274648
128	47.33591047
129	47.15185261
130	47.01683876
131	46.93496749
132	46.81921227
133	46.70532255
134	46.65749749
135	46.60184801
136	46.52921149
137	46.47898961
138	46.32003832
139	46.14758427
140	45.95411242
141	45.92748518
142	45.79820778
143	45.70025701
144	45.6294773
145	45.58549874
146	45.52727991
147	45.44103428
148	45.31644471
149	45.25514148
150	45.17533983
151	45.12718199
152	45.06375139
153	45.01474075
154	44.86061937
155	44.79347741
156	44.66615458
157	44.6236062
158	44.46857263
159	44.42875308
160	44.3169409
161	44.25173186
162	44.19029124
163	44.14899891
164	44.09971997
165	44.0279283
166	43.9606695
167	43.90101803
168	43.85502571
169	43.79385952
170	43.75166667
171	43.67609309
172	43.630314
173	43.57984411
174	43.54911736
175	43.49798427
176	43.4519064
177	43.36270859
178	43.31965246
179	43.29270854
180	43.17419793
181	43.07422869
182	43.03392123
183	42.99489124
184	42.91966532
185	42.88022187
186	42.81913984
187	42.77855513
188	42.73299569
189	42.67080383
190	42.63618204
191	42.60595253
192	42.55036773
193	42.50195699
194	42.43810841
195	42.38071493
196	42.33755666
197	42.29395336
198	42.26356418
199	42.23386993
200	42.19092622
201	42.14637703
202	42.03123718
203	41.99415058
204	41.89455148
205	41.86213425
206	41.7745496
207	41.75184665
208	41.70642058
209	41.59960029
210	41.57767969
211	41.49926566
212	41.44786128
213	41.42167868
214	41.36857736
215	41.32945363
216	41.28010077
217	41.25244417
218	41.16855735
219	41.10331475
220	41.07565723
221	41.04399092
222	40.9983466
223	40.90676127
224	40.88000642
225	40.83008508
226	40.7892189
227	40.73604659
228	40.69508367
229	40.66715265
230	40.60561186
231	40.54810714
232	40.46953434
233	40.42008035
234	40.39756213
235	40.35910329
236	40.30903631
237	40.27948268
238	40.24573259
239	40.21652976
240	40.1491493
241	40.11755066
242	40.066559
243	40.03247008
244	39.98325027
245	39.92286163
246	39.90435847
247	39.88157088
248	39.85685263
249	39.79305173
250	39.76768018
251	39.73757436
252	39.68216144
253	39.66377923
254	39.60550499
255	39.55909998
256	39.52564935
257	39.45532956
258	39.43028156
259	39.40407657
260	39.37852447
261	39.33541442
262	39.31538812
263	39.28675034
264	39.26658131
265	39.23122104
266	39.2092665
267	39.16742223
268	39.14153445
269	39.11564143
270	39.08058192
271	39.04994983
272	39.03198239
273	38.9923706
274	38.96629401
275	38.93419478
276	38.90891166
277	38.88018743
278	38.84925389
279	38.8160003
280	38.76996632
281	38.73817184
282	38.67045964
283	38.63078516
284	38.60301731
285	38.57923196
286	38.54180158
287	38.51613167
288	38.49664791
289	38.44998495
290	38.42348263
291	38.37655491
292	38.3444673
293	38.286231
294	38.26088206
295	38.22868172
296	38.20801913
297	38.18385954
298	38.15208855
299	38.14346439
300	38.11436096
301	38.10120697
302	38.08037846
303	38.03295233
304	37.99633249
305	37.92912072
306	37.91933396
307	37.89170774
308	37.84991013
309	37.80964357
310	37.7947934
311	37.77955816
312	37.7412236
313	37.71787932
314	37.67967983
315	37.63638685
316	37.6118744
317	37.58706495
318	37.56256163
319	37.53536083
320	37.51370766
321	37.49012689
322	37.45747488
323	37.43659646
324	37.41388848
325	37.39469284
326	37.38227278
327	37.35456708
328	37.33180985
329	37.31298319
330	37.29264565
331	37.27142187
332	37.2458783
333	37.23491713
334	37.20421364
335	37.18753851
336	37.16643579
337	37.1367164
338	37.11711818
339	37.09052641
340	37.02703197
341	36.99744058
342	36.98897527
343	36.93793807
344	36.91009689
345	36.88385599
346	36.85915196
347	36.84633644
348	36.82402202
349	36.802748
350	36.77538282
351	36.75242409
352	36.72167672
353	36.6842652
354	36.67543173
355	36.63158517
356	36.60481352
357	36.58517809
358	36.56955888
359	36.55852504
360	36.54096914
361	36.51727495
362	36.48036579
363	36.46565396
364	36.4459381
365	36.4366407
366	36.41454821
367	36.38353451
368	36.34707
369	36.30595458
370	36.2901875
371	36.27542887
372	36.26479542
373	36.24255779
374	36.22267826
375	36.19358375
376	36.16148371
377	36.14374061
378	36.12166152
379	36.10372808
380	36.08870323
381	36.06716639
382	36.04320912
383	36.03926858
384	36.0256283
385	36.00661168
386	35.98125406
387	35.95601716
388	35.93347501
389	35.91384937
390	35.90280654
391	35.88431115
392	35.86699116
393	35.84655871
394	35.82946777
395	35.81745119
396	35.78054813
397	35.76782585
398	35.74461242
399	35.72741253
400	35.7080854
401	35.69069337
402	35.67229531
403	35.63495023
404	35.61752356
405	35.59552937
406	35.57927632
407	35.56321654
408	35.55029892
409	35.53875965
410	35.53508235
411	35.51779783
412	35.50690879
413	35.49820938
414	35.48641821
415	35.46189249
416	35.43148247
417	35.40526081
418	35.38811504
419	35.35787727
420	35.34905852
421	35.33374871
422	35.32355588
423	35.3037924
424	35.26991691
425	35.24415551
426	35.21295933
427	35.20373163
428	35.18347166
429	35.17077706
430	35.16160092
431	35.13731527
432	35.12477447
433	35.10718097
434	35.08928263
435	35.05999013
436	35.04340693
437	35.02568101
438	35.00370886
439	34.98925546
440	34.97233123
441	34.96875245
442	34.94096404
443	34.92399709
444	34.91037622
445	34.89460307
446	34.87846549
447	34.87044851
448	34.84306338
449	34.82285368
450	34.80408657
451	34.79391316
452	34.77879014
453	34.75663398
454	34.73577956
455	34.72417531
456	34.71237876
457	34.68352826
458	34.67267693
459	34.66043698
460	34.64585116
461	34.62133331
462	34.59971509
463	34.59085015
464	34.57625268
465	34.55843087
466	34.54471293
467	34.52870012
468	34.51247885
469	34.50291599
470	34.47354602
471	34.45315953
472	34.43627306
473	34.42431426
474	34.40870225
475	34.39777365
476	34.39099509
477	34.38284114
478	34.36683797
479	34.33641787
480	34.3162926
481	34.29363868
482	34.29021759
483	34.27391196
484	34.25046769
485	34.23581787
486	34.22652744
487	34.1831277
488	34.1679235
489	34.14511411
490	34.12701808
491	34.11065805
492	34.09271291
