iter	Passed	Remaining
0	2	2337
1	4	2168
2	6	2158
3	9	2241
4	11	2194
5	13	2183
6	15	2172
7	17	2160
8	19	2163
9	21	2159
10	24	2165
11	26	2156
12	28	2150
13	30	2146
14	32	2145
15	34	2151
16	37	2152
17	39	2159
18	41	2162
19	44	2168
20	46	2179
21	50	2225
22	52	2233
23	55	2238
24	57	2243
25	60	2255
26	62	2257
27	65	2258
28	67	2261
29	69	2260
30	72	2274
31	75	2288
32	78	2291
33	80	2296
34	83	2312
35	86	2317
36	89	2330
37	92	2331
38	94	2335
39	97	2351
40	100	2352
41	103	2361
42	105	2357
43	108	2351
44	110	2352
45	113	2361
46	116	2356
47	118	2359
48	121	2364
49	124	2359
50	126	2353
51	129	2357
52	131	2355
53	134	2353
54	136	2352
55	139	2352
56	142	2352
57	145	2356
58	147	2358
59	151	2366
60	153	2364
61	156	2361
62	158	2360
63	161	2356
64	163	2356
65	166	2357
66	169	2356
67	171	2356
68	174	2351
69	177	2352
70	179	2349
71	182	2348
72	184	2345
73	186	2339
74	189	2339
75	192	2335
76	194	2330
77	196	2327
78	199	2326
79	201	2321
80	204	2318
81	206	2313
82	209	2312
83	211	2310
84	214	2308
85	217	2306
86	219	2306
87	222	2304
88	224	2302
89	228	2305
90	230	2305
91	233	2307
92	236	2310
93	239	2311
94	244	2326
95	247	2332
96	250	2334
97	253	2335
98	256	2338
99	260	2340
100	262	2340
101	265	2339
102	268	2341
103	271	2341
104	274	2339
105	277	2342
106	280	2341
107	283	2337
108	286	2339
109	288	2336
110	291	2335
111	294	2333
112	296	2328
113	299	2325
114	301	2323
115	304	2318
116	306	2314
117	309	2310
118	312	2312
119	314	2308
120	317	2305
121	319	2302
122	322	2299
123	325	2301
124	328	2299
125	331	2297
126	334	2296
127	336	2294
128	339	2292
129	342	2293
130	345	2291
131	348	2288
132	350	2286
133	353	2283
134	356	2283
135	359	2281
136	361	2277
137	364	2274
138	366	2271
139	369	2269
140	372	2268
141	374	2264
142	377	2261
143	380	2261
144	383	2258
145	385	2255
146	388	2254
147	391	2251
148	393	2248
149	396	2245
150	398	2242
151	401	2241
152	404	2239
153	406	2234
154	409	2230
155	411	2227
156	414	2224
157	416	2221
158	419	2218
159	422	2216
160	424	2213
161	427	2213
162	430	2212
163	433	2212
164	436	2210
165	439	2208
166	442	2205
167	445	2204
168	447	2202
169	450	2200
170	453	2200
171	456	2199
172	459	2196
173	462	2195
174	465	2192
175	468	2194
176	471	2193
177	474	2191
178	478	2194
179	481	2192
180	484	2191
181	487	2188
182	489	2185
183	492	2185
184	495	2182
185	498	2180
186	501	2180
187	503	2176
188	507	2176
189	510	2176
190	513	2175
191	517	2175
192	519	2173
193	522	2171
194	525	2170
195	529	2171
196	532	2171
197	535	2168
198	538	2167
199	541	2165
200	544	2163
201	547	2161
202	549	2159
203	552	2156
204	555	2154
205	558	2151
206	562	2153
207	565	2151
208	567	2149
209	571	2149
210	574	2148
211	577	2147
212	581	2147
213	584	2145
214	586	2143
215	589	2141
216	593	2140
217	596	2139
218	599	2137
219	602	2135
220	605	2133
221	608	2131
222	611	2132
223	614	2129
224	617	2128
225	620	2126
226	624	2125
227	626	2122
228	629	2120
229	632	2117
230	635	2114
231	638	2114
232	641	2111
233	645	2112
234	648	2111
235	651	2108
236	654	2106
237	657	2104
238	660	2102
239	662	2099
240	667	2100
241	670	2101
242	673	2099
243	676	2096
244	679	2093
245	682	2090
246	684	2087
247	687	2084
248	690	2081
249	692	2078
250	695	2075
251	698	2072
252	700	2069
253	703	2066
254	706	2064
255	709	2060
256	711	2057
257	714	2054
258	717	2052
259	720	2049
260	723	2047
261	725	2043
262	728	2040
263	731	2038
264	733	2034
265	736	2032
266	739	2029
267	742	2026
268	744	2024
269	747	2021
270	750	2018
271	753	2015
272	756	2013
273	758	2011
274	761	2008
275	764	2005
276	767	2003
277	770	2001
278	773	1999
279	776	1995
280	778	1992
281	781	1989
282	783	1985
283	786	1982
284	788	1979
285	791	1975
286	794	1973
287	796	1970
288	799	1966
289	802	1963
290	804	1960
291	807	1957
292	809	1954
293	812	1952
294	816	1950
295	818	1947
296	821	1943
297	823	1939
298	826	1937
299	828	1933
300	831	1931
301	834	1928
302	836	1924
303	839	1921
304	841	1918
305	844	1915
306	847	1912
307	850	1910
308	852	1906
309	855	1904
310	858	1901
311	860	1898
312	864	1896
313	866	1893
314	869	1890
315	872	1889
316	875	1886
317	878	1883
318	881	1881
319	884	1878
320	886	1875
321	889	1872
322	892	1869
323	894	1866
324	897	1863
325	899	1860
326	902	1857
327	904	1853
328	907	1850
329	910	1847
330	912	1844
331	915	1841
332	917	1837
333	920	1834
334	922	1831
335	925	1829
336	928	1826
337	930	1822
338	933	1819
339	935	1816
340	937	1812
341	940	1809
342	943	1806
343	945	1803
344	948	1800
345	950	1797
346	953	1793
347	955	1790
348	958	1787
349	960	1784
350	963	1781
351	965	1778
352	968	1775
353	971	1772
354	973	1768
355	975	1765
356	978	1762
357	980	1758
358	983	1755
359	985	1752
360	988	1748
361	990	1746
362	994	1744
363	997	1742
364	1000	1740
365	1003	1738
366	1006	1735
367	1008	1732
368	1011	1730
369	1014	1727
370	1017	1724
371	1020	1722
372	1022	1719
373	1025	1715
374	1027	1712
375	1030	1710
376	1033	1707
377	1035	1703
378	1037	1700
379	1040	1697
380	1042	1693
381	1044	1690
382	1047	1687
383	1049	1683
384	1052	1680
385	1054	1677
386	1056	1673
387	1058	1670
388	1061	1666
389	1063	1663
390	1065	1659
391	1067	1656
392	1070	1653
393	1072	1649
394	1075	1646
395	1077	1644
396	1080	1641
397	1082	1637
398	1085	1635
399	1087	1631
400	1090	1628
401	1092	1625
402	1095	1622
403	1098	1620
404	1101	1617
405	1103	1615
406	1106	1612
407	1109	1609
408	1112	1606
409	1114	1604
410	1118	1602
411	1120	1599
412	1123	1596
413	1126	1594
414	1128	1591
415	1131	1588
416	1134	1585
417	1137	1583
418	1139	1580
419	1142	1577
420	1144	1573
421	1146	1570
422	1149	1567
423	1151	1564
424	1154	1561
425	1156	1558
426	1159	1555
427	1161	1552
428	1164	1549
429	1166	1546
430	1169	1543
431	1171	1540
432	1174	1537
433	1176	1534
434	1179	1531
435	1181	1528
436	1184	1526
437	1186	1522
438	1189	1520
439	1192	1517
440	1196	1516
441	1198	1513
442	1201	1510
443	1204	1508
444	1206	1505
445	1209	1502
446	1211	1499
447	1214	1496
448	1216	1493
449	1219	1490
450	1221	1487
451	1224	1484
452	1226	1481
453	1229	1478
454	1231	1475
455	1234	1472
456	1237	1469
457	1239	1467
458	1242	1464
459	1244	1461
460	1247	1458
461	1249	1455
462	1252	1453
463	1255	1450
464	1258	1447
465	1260	1444
466	1263	1441
467	1265	1438
468	1269	1437
469	1271	1434
470	1274	1431
471	1276	1428
472	1279	1425
