"Provinsi","Kabupaten","Kecamatan ","Kelurahan"
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE BAGOK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE BATEE "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ALUE SUNDAK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","ARONGAN "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT BULOH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT JURUMUDI "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","COT KUMBANG "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","DRIEN RAMPAK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","GUNONG PULO "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KARANG HAMPA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KEUB "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","KUBU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTE MEUTIA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTON BAHAGIA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PANTON MAKMUR "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PEULANTEU LB "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","PEURIBU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","RIMBA LANGGEH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SEUNEUBOK LUENG "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SEUNEUBOK TEUNGOH "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SIMPANG PEUT "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK BIDOK "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK IE BEUSOU "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","SUAK KEUMUDEE "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","TEUPIN PEURAHO "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","UJONG BEUSA "
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","UJONG SIMPANG "
"ACEH","ACEH BARAT","BUBON","ALUE BAKONG "
"ACEH","ACEH BARAT","BUBON","ALUE LHOK "
"ACEH","ACEH BARAT","BUBON","BEURAWANG "
"ACEH","ACEH BARAT","BUBON","BLANG SIBEUTONG "
"ACEH","ACEH BARAT","BUBON","COT KEUMUNENG "
"ACEH","ACEH BARAT","BUBON","COT LADA "
"ACEH","ACEH BARAT","BUBON","GUNONG PANAH "
"ACEH","ACEH BARAT","BUBON","KUALA PLING "
"ACEH","ACEH BARAT","BUBON","KUTA PADANG "
"ACEH","ACEH BARAT","BUBON","LAYUNG "
"ACEH","ACEH BARAT","BUBON","LICEH "
"ACEH","ACEH BARAT","BUBON","PEULANTEU SP "
"ACEH","ACEH BARAT","BUBON","RAMBONG "
"ACEH","ACEH BARAT","BUBON","SEUMULENG "
"ACEH","ACEH BARAT","BUBON","SEUNEUBOK TRAP "
"ACEH","ACEH BARAT","BUBON","SUAK PANGKAT "
"ACEH","ACEH BARAT","BUBON","ULEE BLANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","BLANG BERANDANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","DRIEN RAMPAK "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","GAMPA "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KAMPUNG BELAKANG "
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","KAMPUNG DARAT "
